# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\enemies-2.png	0	128	128
999	textures\raccoon_3.png	255	255	255
40	textures\raccoon_4.png	255	255	255
41	textures\raccoon_5.png	255 	255	255
42	textures\fireball_right.png	0	255	255
43	textures\fireball_left.png	0	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]
# BIG MARIO
#RIGHT 
#idle right
01	216	243	230	270	0
#walk right
02	255	243	271	270	0
03	295	244	311	270	0
#jump right
04	335	244	351	270	0
#falling right
05	295	244	311	270	0
#sit right
06	376	238	390	266	0
#running right
07	213	323	232	350	0
08	253	323	272	350	0
09	293	324	312	350	0
#MARIO STOP RIGHT
10	175	283	191	311	0

#LEFT
#idle left
21	176	243	190	270	0
#walk left
22	95	244	111	270	0
23	135	243	151	270	0
#jump left
24	55	244	71	270	0
#falling left
25	95	244	111	270	0
#sit left
26	16	238	30	266	0
#running left
27	174	323	193	350	0
28	134	323	153	350	0
29	94	324	113	350	0
#MARIO STOP LEFT
30	215	283	231	311	0


# die 
999	375	209	391	225	0

# SMALL mario
#RIGHT
# idle small right
41	217	89	229	104	0
#walk right
42	256	89	271	105	0
43	256	89	271	105	0
#jump right
44	335	89	351	105	0
#running small right
45	215	169	231	185	0
46	255	169	271	185	0
#Stop right
47	216	129	230	145	0

#LEFT
#idle small left
61	177	89	189	104	0
#walk right
62	135	89	150	105	0
63	135	89	150	105	0
#jump left	
64	55	89	71	105	0
#running small left
65	175	169	191	185	0
66	135	169	151	185	0
#stop left
67	176	129	190	145	0

#======MARIO RACCON=======
#RIGHT
#idle right
81	210	443	233	471	0
#walk right
82	262	443	284	471	0
83	291	443	314	470	0
#running right
84	211	523	235	551	0
85	251	523	275	551	0
86	291	523	315	550	0
#jump right
87	331	443	354	470	0
#stop right
88	168	482	191	512	0
#fight idle right
89	236	443	259	471	0
90	348	483	371	511	0
91	8	4	38	32	999
92	383	483	406	511	0
#sitting right
93	372	438	394	466	0
#93	321	443	344	470	0
#falling and quay duoi right
94	211	603	234	631	0
95	252	603	274	631	0
#flying right
96	291	603	315	631	0
97	331	603	355	630	0
98	371	603	395	630	0

#LEFT
#idle left
101	8	3	36	31	41
#walk left
102	115	443	144	471	0
103	85	443	115	470	0
#running left
104	164	523	195	551	0
105	124	523	155	551	0
106	84	523	115	550	0
#jump left
107	45	443	75	470	0
#stop left
108	208	482	231	512	0
#fight idle left
109	8	4	38	32	999
110	348	483	371	511	0
111	236	443	259	471	0
112	383	483	406	511	0
#sitting left
113	12	438	36	466	0
#falling and quay duoi left
114	165	603	195	631	0
115	125	603	154	631	0
#flying left
116	84	603	115	631	0
117	44	603	75	630	0
118	4	603	35	630	0

#====FIRE MARIO=======
#RIGHT
#idle right
121	216	683	230	710	0
#walk right
122	255	683	271	710	0
123	295	684	311	710	0
#running right
124	213	763	232	790	0
125	253	763	272	790	0
126	293	764	312	790	0
#jump right
127	335	684	351	710	0
#stop right
128	175	723	191	751	0
#fight idle right	
129	386	803	400	830	0
130	366	803	380	830	0
#sitting right
131	376	678	390	706	0
#fight while jumping right
132	333	804	352	830	0
133	294	803	312	830	0
134	253	803	272	830	0


#LEFT
#idle left
141	176	683	190	710	0
#walk left
142	135	683	151	710	0
143	95	684	111	710	0
#running left
144	174	763	193	790	0
145	134	763	153	790	0
146	94	764	113	790	0
#jump left 
147	55	684	71	710	0
#stop left
148	215	723	231	751	0
#fight idle left
149	6	803	20	830	0
150	26	803	40	830	0
#sitting left
151	16	678	30	706	0
#fight while jumping left
152	54	804	73	830	0
